Conjugation,Row,verb,stem,MZ,RY,SS,RT,IZ,MR,,
yodan,カ,書く,か,かかない,かきて,かく,かくひと,かけば,かけよ,,
,ガ,泳ぐ,およ,およがない,およぎて,およぐ,およぐひと,およげば,およげよ,,
,サ,移す,うつ,うつさない,うつして,うつす,うつすひと,うつせば,うつせよ,,
,タ,打つ,う,うたない,うちて,うつ,うつひと,うてば,うてよ,,
,ハ,思ふ,おも,おもはない,おもゐて,おもふ,おもふひと,おもへば,おもへよ,,
,バ,呼ぶ,よ,よばない,よびて,よぶ,よぶひと,よべば,よべよ,,
,マ,読む,よ,よまない,よみて,よむ,よむひと,よめば,よめよ,,
,ラ,取る,と,とらない,とりて,とる,とるひと,とれば,とれよ,,
shimo-ichidan,カ,蹴る,け,けない,けて,ける,けるひと,ければ,けよ,,
shimo-nidan,ア,得,う,えない,え,う,うるとき,うれど,えよ,,
,カ,受く,う,うけない,受け流す,うく,うくるとき,うくれど,うけよ,,
,ガ,告ぐ,つ,つげない,告げつく,つぐ,つぐるとき,つぐれど,つげよ,,
,サ,寄す,よ,よせない,よせてみる,よす,よするとき,よすれど,よせよ,,
,ザ,混ず,ま,まぜない,まぜてみる,まず,まずるとき,まずれど,まぜよ,,
,タ,捨つ,す,すてない,すてなげ,すつ,すつるとき,すつれど,すてよ,,
,ダ,出づ,い,いでない,出でてみる,いづ,いづるとき,いづれど,いでよ,,
,ナ,尋ぬ,たづ,たづねない,たづねまわる,たづ,たづるとき,たづれど,たづねよ,,
,ハ,教ふ,をし,をしへない,をしへてみる,をしふ,をしふるとき,をしふれど,をしへよ,,
,バ,述ぶ,の,のべない,のべてみる,のぶ,のぶるとき,のぶれど,のべよ,,
,マ,求む,もと,もとめない,もとめている,もとむ,もともるとき,もともれど,もとめよ,,
,ヤ,消ゆ,き,きえない,きえかかる,きゆ,きゆるとき,きゆれど,きえよ,,
,ラ,流る,なが,ながれない,ながれてゆく,ながる,ながるるとき,ながるれど,ながれよ,,
,ワ,植う,う,植ゑない,植ゑてしまう,うう,ううるとき,ううれど,うゑよ,,
Kami-Ichidan,カ,着る,き,きない,きている,きる,きるとき,きれば,きよ,,
,ナ,似る,に,にない,にている,にる,にるひと,にれば,によ,,
,ハ,干る,ひ,ひない,ひている,ひる,ひるとき,ひれば,ひよ,,
,マ,見る,み,みない,みている,みる,みるとき,みれば,みよ,,
,ヤ,射る,い,いない,いてほしい,いる,いるとき,いれば,いよ,,
,ワ,居る,ゐ,ゐない,ゐている,ゐる,ゐるとき,ゐれば,ゐよ,,
Kami-Nidan,カ,起く,お,おきない,おきてゆく,おく,おくるとき,おくれば,おきよ,,
,ガ,過ぐ,す,すぎない,すぎてゆく,すぐ,すぐるとき,すぐれば,すぎよ,,
,タ,朽つ,く,くちない,くちてゆく,くつ,くつる,くつれば,くちよ,,
,ダ,恥づ,は,はぢない,はじている,はづ,はづる,はづれば,はぢよ,,
,ハ,強ふ,し,しひない,しひておく,しふ,しふる,しふれば,しひよ,,
,バ,伸ぶ,の,のびない,のびてゆく,のぶ,のぶる,のぶれば,のびよ,,
,マ,恨む,うら,うらみない,うらみづつける,うらむ,うらむる,うらむれば,うらみよ,,
,ヤ,悔ゆ,く,くいない,くいてゆく,くゆ,くゆる,くゆれば,くいよ,,
,ラ,下る,お,おりない,おりてゆく,おる,おるる,おるれば,おりよ,,
Rahen,ラ,有り,あ,あらない,ありて,あり,あるひと,あれば,あれ,,
Nahen,ナ,死ぬ,し,しなない,しにて,しぬ,しぬるひと,しぬれば,しね,,
Kahen,カ,来,（く）,こない,きている,く,くるとき,くれば,こよ,,
Sahen,サ,す,（す）,せない,している,す,するとき,すれば,せよ,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
